,Distance,GEOID
0,25.44111752947507,1400000US06097150202
1,28.682863874076226,1400000US06097150203
2,29.14604774943013,1400000US06097150204
3,21.6929237351161,1400000US06097150303
4,25.75425216263385,1400000US06097150304
5,24.20418108540513,1400000US06097150305
6,23.837416985270455,1400000US06097150306
7,25.27870159163931,1400000US06097150902
8,15.131343431100184,1400000US06097150500
9,27.245745420172334,1400000US06097150601
10,26.84547530957336,1400000US06097150602
11,25.569433189194957,1400000US06097150603
12,21.686782137140924,1400000US06097150607
13,24.296287147727995,1400000US06097150609
14,23.990792825593974,1400000US06097150610
15,27.350391236239908,1400000US06097150611
16,7.913620454026296,1400000US06097152000
17,20.19665370812603,1400000US06097150612
18,26.802453452701528,1400000US06097150701
19,28.155647002285182,1400000US06097150702
20,27.125155859116788,1400000US06097150800
21,24.654976965015525,1400000US06097150901
22,22.120494632190642,1400000US06097151000
23,18.26268891742555,1400000US06097151100
24,14.746906965708398,1400000US06097151201
25,18.19886147243704,1400000US06097151203
26,17.384869849136884,1400000US06097151204
27,17.31148358688683,1400000US06097151301
28,16.2066252038785,1400000US06097151305
29,16.382213875550615,1400000US06097151306
30,13.745344378557954,1400000US06097151307
31,14.933375920471448,1400000US06097151308
32,14.189845036835044,1400000US06097151309
33,17.114473805389924,1400000US06097151310
34,18.004225024364708,1400000US06097151311
35,9.483298281710567,1400000US06097151401
36,9.34195303067467,1400000US06097151402
37,9.692285833234497,1400000US06097151502
38,8.459210023456025,1400000US06097151800
39,8.90646112403995,1400000US06097151900
40,9.816684242229698,1400000US06097151503
41,9.960183890163277,1400000US06097151504
42,10.40870929443279,1400000US06097151601
43,9.862695837353392,1400000US06097151602
44,8.803007051281426,1400000US06097151700
45,5.342933334210699,1400000US06097152100
46,6.526674370560353,1400000US06097152201
47,6.929459630088773,1400000US06097152202
48,7.724851916035826,1400000US06097152203
49,6.555935956386623,1400000US06097152300
50,3.0504188497579694,1400000US06097152400
51,8.076365748571478,1400000US06097152501
52,7.136657275998588,1400000US06097152502
53,5.40156115342188,1400000US06097152904
54,4.811860444339093,1400000US06097152905
55,0.8179970218769774,1400000US06097152600
56,0.0,1400000US06097152701
57,1.2887700623003135,1400000US06097152702
58,2.7906072164524436,1400000US06097152801
59,5.252583411924788,1400000US06097152802
60,5.744942242912264,1400000US06097152903
61,2.8002597671952634,1400000US06097152906
62,6.617680626500238,1400000US06097153001
63,7.443842930362644,1400000US06097153002
64,8.14144620766009,1400000US06097153003
65,6.697876884498428,1400000US06097153005
66,6.696274718596888,1400000US06097153006
67,9.578369845401427,1400000US06097153102
68,9.308173031828279,1400000US06097153103
69,8.823921651979969,1400000US06097153104
70,10.420744585549595,1400000US06097153200
71,0.0,1400000US06097153809
72,8.8229167827857,1400000US06097153300
73,10.00508541562102,1400000US06097153401
74,11.543144790462154,1400000US06097153403
75,12.317096540294887,1400000US06097153404
76,14.374617760433233,1400000US06097153501
77,12.984052612546897,1400000US06097153502
78,8.13749837852521,1400000US06097153600
79,11.960533122097825,1400000US06097153703
80,8.879541694995657,1400000US06097153704
81,4.3362128629739685,1400000US06097153705
82,6.402305425351442,1400000US06097153706
83,0.25417020732733836,1400000US06097153801
84,0.3120493622096276,1400000US06097153804
85,0.0991785668347374,1400000US06097153806
86,0.0,1400000US06097153807
87,0.6976060795436758,1400000US06097153808
88,0.0,1400000US06097153901
89,0.0629367825142531,1400000US06097153902
90,0.0,1400000US06097153903
91,5.553101621142807,1400000US06097154201
92,0.6562267556656474,1400000US06097154000
93,0.0,1400000US06097154100
94,5.646157220264043,1400000US06097154202
95,14.258795867941409,1400000US06097154302
96,23.69518193196361,1400000US06097154303
97,7.681038209237147,1400000US06097154304
98,30.59542020236514,1400000US06097150100
