,Unnamed: 0,geoid,Median Household Income (In 2019 Inflation Adjusted Dollars),Population Density (Per Sq. Mile)
0,0,6097150202,109214,962
1,1,6097150203,85270,2740
2,2,6097150204,105114,3792
3,3,6097150303,108938,83
4,4,6097150304,116250,3465
5,5,6097150305,0,1366
6,6,6097150306,57772,11082
7,7,6097150902,103295,2835
8,8,6097150500,0,126
9,9,6097150601,99500,10708
10,10,6097150602,93214,5294
11,11,6097150603,67617,4610
12,12,6097150607,122361,9296
13,13,6097150609,115337,7590
14,14,6097150610,98667,8042
15,15,6097150611,77550,9270
16,16,6097152000,43214,3699
17,17,6097150612,118125,2704
18,18,6097150701,86581,2387
19,19,6097150702,123625,406
20,20,6097150800,94632,3366
21,21,6097150901,85298,7178
22,22,6097151000,88977,382
23,23,6097151100,88750,93
24,24,6097151201,60771,861
25,25,6097151203,65417,8483
26,26,6097151204,75542,1346
27,27,6097151301,77143,9249
28,28,6097151305,31190,6271
29,29,6097151306,160714,4468
30,30,6097151307,92784,9202
31,31,6097151308,0,5407
32,32,6097151309,119417,98
33,33,6097151310,0,6862
34,34,6097151311,106458,2501
35,35,6097151401,80865,1108
36,36,6097151402,42132,4980
37,37,6097151502,80114,7042
38,38,6097151800,81030,6158
39,39,6097151900,67222,11880
40,40,6097151503,155526,237
41,41,6097151504,97994,6113
42,42,6097151601,79243,2676
43,43,6097151602,90813,140
44,44,6097151700,87431,3875
45,45,6097152100,68719,4139
46,46,6097152201,63250,5318
47,47,6097152202,137188,4407
48,48,6097152203,72689,4729
49,49,6097152300,110865,3817
50,50,6097152400,98171,1667
51,51,6097152501,83438,4684
52,52,6097152502,83148,4868
53,53,6097152904,71250,6677
54,54,6097152905,61217,8106
55,55,6097152600,126691,118
56,56,6097152701,133233,128
57,57,6097152702,0,150
58,58,6097152801,73958,1345
59,59,6097152802,37734,8067
60,60,6097152903,95078,3943
61,61,6097152906,101838,682
62,62,6097153001,54282,9571
63,63,6097153002,63466,5871
64,64,6097153003,53333,14159
65,65,6097153005,202798,906
66,66,6097153006,60278,5034
67,67,6097153102,78816,14811
68,68,6097153103,74194,6996
69,69,6097153104,51581,9268
70,70,6097153200,53219,690
71,71,6097153809,94408,1116
72,72,6097153300,90167,5563
73,73,6097153401,107540,1218
74,74,6097153403,94250,886
75,75,6097153404,76042,1056
76,76,6097153501,92943,575
77,77,6097153502,82750,408
78,78,6097153600,112023,378
79,79,6097153703,77969,124
80,80,6097153704,62422,51
81,81,6097153705,43083,49
82,82,6097153706,51205,381
83,83,6097153801,99643,119
84,84,6097153804,104444,6867
85,85,6097153806,94688,3827
86,86,6097153807,128942,6355
87,87,6097153808,42819,1872
88,88,6097153901,0,58
89,89,6097153902,54679,1808
90,90,6097153903,130938,2246
91,91,6097154201,74167,7057
92,92,6097154000,111591,17
93,93,6097154100,54402,51
94,94,6097154202,72287,364
95,95,6097154302,59336,149
96,96,6097154303,77702,17
97,97,6097154304,66442,2
98,98,6097150100,110577,231
